ts,id,web_name,team,status_from,status_to,chance_from,chance_to,news_from,news_to,news_added
2026-09-14T15:51:49Z,107,Furo,BRE,a,i,,0,,Unspecified injury - Unknown return date,2026-09-14T14:00:09.985723Z
2026-09-14T15:51:49Z,269,Sessegnon,FUL,a,d,,75,,Groin injury - 75% chance of playing,2026-09-14T11:30:07.403957Z
2026-09-14T15:51:49Z,359,Gomez,LIV,i,d,0,75,Muscular injury - Unknown return date,Muscular injury - 75% chance of playing,2026-07-26T08:30:10.078473Z
2026-09-14T15:51:49Z,455,Tonali,TOT,a,d,,75,,Knock - 75% chance of playing,2026-09-14T14:30:07.387706Z
2026-09-14T17:02:21Z,441,Obi,MUN,a,u,,0,,Has joined Willem II on loan for the rest of the season,2026-09-14T16:12:42.090874Z
2026-09-14T17:02:21Z,506,Udogie,TOT,d,a,75,100,Unspecified injury - 75% chance of playing,,2026-09-11T18:00:09.092110Z
2026-09-14T20:14:01Z,448,Burn,NEW,i,i,0,0,Ankle injury - Expected back 14 Sep,Ankle injury - Expected back 19 Sep,2026-08-23T18:00:08.367241Z
2026-09-14T20:14:01Z,454,Elanga,NEW,a,i,,0,,Unspecified injury - Unknown return date,2026-09-14T20:00:09.505598Z
2026-09-14T20:14:01Z,593,Dedić,NEW,d,a,75,100,Hamstring injury - 75% chance of playing,,2026-09-09T14:30:08.475769Z
2026-09-14T20:14:01Z,471,Milenković,NFO,d,i,75,0,Hamstring injury - 75% chance of playing,Hamstring injury - Expected back 11 Oct,2026-09-12T14:00:09.705107Z
2026-09-14T20:14:01Z,474,Jair Cunha,NFO,d,d,75,50,Hamstring injury - 75% chance of playing,Hamstring injury - 50% chance of playing,2026-09-12T14:00:09.724349Z
2026-09-14T23:50:24Z,405,N.Gonzalez,NEW,a,d,,50,,Concussion - 50% chance of playing,2026-09-14T21:30:07.343728Z
2026-09-15T10:00:29Z,104,Onyeka,COV,a,d,,50,,Hand injury - 50% chance of playing,2026-09-15T09:00:07.851220Z
2026-09-15T10:00:29Z,456,J.Ramsey,NEW,a,d,,25,,Thigh injury - 25% chance of playing,2026-09-15T09:00:08.191022Z
2026-09-15T14:56:30Z,125,Georginio,BHA,d,a,75,100,Unspecified injury - 75% chance of playing,,2026-08-26T16:00:07.608056Z
