ts,id,web_name,team,cost_from,cost_to,selected_by_percent,transfers_in_event,transfers_out_event
2026-09-14T23:50:24Z,16,Madueke,ARS,63,62,0.2,258,1927
2026-09-14T23:50:24Z,102,Yarmoliuk,BRE,49,48,0.7,369,3657
2026-09-14T23:50:24Z,328,Struijk,BHA,50,49,0.2,343,1128
2026-09-14T23:50:24Z,159,Caicedo,CHE,54,53,1.3,275,16749
2026-09-14T23:50:24Z,568,Barco,CHE,55,54,0.1,232,624
2026-09-14T23:50:24Z,212,Hughes,CRY,45,44,8.1,5499,41730
2026-09-14T23:50:24Z,309,Núñez,IPS,50,49,0.1,115,821
2026-09-14T23:50:24Z,378,McConnell,LIV,45,44,0.2,233,954
2026-09-14T23:50:24Z,43,Tielemans,MUN,59,58,1.6,3775,11010
2026-09-14T23:50:24Z,506,Udogie,TOT,45,44,0.4,72,3244
2026-09-14T23:50:24Z,526,Solanke,TOT,59,58,0.9,1806,5434
2026-09-16T00:15:20Z,11,Mosquera,ARS,54,53,2.0,120,52218
2026-09-16T00:15:20Z,32,Cash,AVL,45,44,5.3,582,80434
2026-09-16T00:15:20Z,618,Goretzka,AVL,60,59,0.0,31,1018
2026-09-16T00:15:20Z,84,Collins,BRE,55,54,1.2,73,23573
2026-09-16T00:15:20Z,94,Schade,BRE,60,61,6.1,245809,24302
2026-09-16T00:15:20Z,95,O.Dango,BRE,64,63,0.5,421,7856
2026-09-16T00:15:20Z,124,Groß,BHA,56,57,18.9,321772,47884
2026-09-16T00:15:20Z,126,O'Riley,BHA,55,54,0.1,361,770
2026-09-16T00:15:20Z,130,Wieffer,BHA,50,49,0.2,38,4418
2026-09-16T00:15:20Z,172,Wilson,COV,45,44,0.4,100,1030
2026-09-16T00:15:20Z,577,Tomiyasu,CRY,45,44,0.3,211,1628
2026-09-16T00:15:20Z,266,Cairney,FUL,50,49,0.0,9,29
2026-09-16T00:15:20Z,286,Belloumi,HUL,50,51,3.2,218345,14811
2026-09-16T00:15:20Z,393,Khusanov,MCI,55,54,1.5,2171,11783
2026-09-16T00:15:20Z,431,Amad,MUN,58,57,0.3,46,3269
2026-09-16T00:15:20Z,438,Fletcher,MUN,45,44,0.3,408,1664
2026-09-16T00:15:20Z,446,Schär,NEW,50,49,0.2,723,1450
2026-09-16T00:15:20Z,480,Gibbs-White,NFO,79,80,12.3,290769,19055
2026-09-16T23:50:20Z,76,Tóth.A,BOU,50,49,0.0,36,94
2026-09-16T23:50:20Z,115,De Cuyper,BHA,48,49,24.1,278655,68945
2026-09-18T00:10:53Z,15,Ødegaard,ARS,67,68,19.7,253110,95503
2026-09-18T00:10:53Z,96,Damsgaard,BRE,55,54,0.4,1042,5840
2026-09-18T00:10:53Z,106,Thiago,BRE,79,78,9.2,13979,165658
2026-09-18T00:10:53Z,183,Rudoni,COV,50,49,0.1,349,1204
2026-09-18T00:10:53Z,185,Sakamoto,COV,49,48,0.1,71,719
2026-09-18T00:10:53Z,189,Shepherd,COV,45,44,0.2,404,1988
2026-09-18T00:10:53Z,42,Guessand,CRY,55,54,0.0,269,648
2026-09-18T00:10:53Z,308,Furlong,IPS,40,39,0.5,457,2341
2026-09-18T00:10:53Z,315,Fatawu,IPS,55,54,0.2,457,1987
2026-09-18T00:10:53Z,260,Wilson,LEE,63,62,2.3,2995,46844
2026-09-18T00:10:53Z,330,Bogle,LEE,45,46,4.8,250061,17230
2026-09-18T00:10:53Z,357,Frimpong,LIV,54,53,1.9,2514,32290
2026-09-18T00:10:53Z,366,Wirtz,LIV,74,73,6.5,4388,129128
2026-09-18T00:10:53Z,398,Foden,MCI,70,69,2.6,2017,145042
2026-09-18T00:10:53Z,411,Haaland,MCI,155,156,72.9,139831,20142
2026-09-18T00:10:53Z,499,Pedro Porro,TOT,55,54,8.6,1574,203028
2026-09-18T00:10:53Z,519,Gallagher,TOT,54,53,0.2,467,2004
2026-09-19T00:14:51Z,31,Konsa,ARS,45,46,19.4,24799,1193
2026-09-19T00:14:51Z,67,Rayan,BOU,64,63,1.6,238,477
2026-09-19T00:14:51Z,108,Wilson,BRE,55,54,0.3,106,176
2026-09-19T00:14:51Z,565,M.Sangaré,BRE,57,56,11.0,478,21491
2026-09-19T00:14:51Z,594,David,BHA,60,59,0.2,110,98
2026-09-19T00:14:51Z,149,Colwill,CHE,49,48,0.9,100,650
2026-09-19T00:14:51Z,200,Lacroix,CHE,60,59,7.0,486,2358
2026-09-19T00:14:51Z,177,Kesler-Hayden,COV,40,39,0.0,11,10
2026-09-19T00:14:51Z,188,Torp,COV,54,53,0.1,3,22
2026-09-19T00:14:51Z,492,Awoniyi,COV,55,54,0.4,6,464
2026-09-19T00:14:51Z,203,Canvot,CRY,49,48,0.2,13,188
2026-09-19T00:14:51Z,206,Chadi Riad,CRY,44,43,0.0,1,10
2026-09-19T00:14:51Z,233,Mykolenko,EVE,45,46,4.2,19280,534
2026-09-19T00:14:51Z,236,Dewsbury-Hall,EVE,65,66,6.2,18261,1510
2026-09-19T00:14:51Z,289,Crooks,HUL,45,44,0.5,82,372
2026-09-19T00:14:51Z,329,Rodon,LEE,44,43,0.8,2,1820
2026-09-19T00:14:51Z,369,Ngumoha,LIV,58,57,0.5,53,169
2026-09-19T00:14:51Z,370,Chiesa,LIV,54,53,0.0,0,15
2026-09-19T00:14:51Z,371,Gravenberch,LIV,59,58,1.2,104,367
2026-09-19T00:14:51Z,237,Ndiaye,MCI,59,58,7.3,447,8733
2026-09-19T00:14:51Z,420,Yoro,MUN,49,48,0.5,24,82
2026-09-19T00:14:51Z,423,Shaw,MUN,44,43,8.3,29,12871
2026-09-19T00:14:51Z,440,Zirkzee,MUN,54,53,0.4,89,180
2026-09-19T00:14:51Z,444,Jaouen,NEW,45,44,0.0,3,9
2026-09-19T00:14:51Z,453,Barnes,NEW,60,61,4.5,23783,671
2026-09-19T00:14:51Z,454,Elanga,NEW,62,61,6.0,27,19110
2026-09-19T00:14:51Z,465,Osula,NEW,59,58,0.3,4,141
2026-09-19T00:14:51Z,167,Delap,NFO,55,56,2.9,15364,670
2026-09-19T00:14:51Z,471,Milenković,NFO,55,54,1.1,5,1024
2026-09-19T00:14:51Z,455,Tonali,TOT,54,53,2.0,123,780
2026-09-19T00:14:51Z,508,Davies,TOT,40,39,0.8,66,142
2026-09-19T00:14:51Z,514,Tel,TOT,58,57,0.2,14,164
2026-09-19T00:14:51Z,534,Hume,SUN,44,43,3.0,71,5622
2026-09-19T00:14:51Z,539,O'Nien,SUN,40,39,2.4,92,945
2026-09-19T00:14:51Z,542,E.Le Fée,SUN,58,57,3.5,416,3693
2026-09-19T00:14:51Z,552,Brobbey,SUN,58,57,5.4,597,2777
2026-09-19T23:29:32Z,7,Lewis-Skelly,ARS,55,54,0.6,226,1363
2026-09-19T23:29:32Z,25,Gyökeres,ARS,72,71,3.1,1365,4050
2026-09-19T23:29:32Z,557,Tzolis,ARS,64,63,12.9,2906,56839
2026-09-19T23:29:32Z,92,Ji-soo,BRE,45,44,0.0,25,25
2026-09-19T23:29:32Z,122,Minteh,BHA,59,58,0.0,9,58
2026-09-19T23:29:32Z,124,Groß,BHA,57,58,23.8,274608,3295
2026-09-19T23:29:32Z,125,Georginio,BHA,54,53,0.5,478,1152
2026-09-19T23:29:32Z,187,Eccles,COV,49,48,0.0,5,35
2026-09-19T23:29:32Z,267,Lukić,IPS,50,49,0.1,31,133
2026-09-19T23:29:32Z,312,Taylor,IPS,45,44,0.0,18,47
2026-09-19T23:29:32Z,324,Mehmeti,IPS,49,48,0.0,8,36
2026-09-19T23:29:32Z,562,Maeda,IPS,54,53,0.2,34,491
2026-09-19T23:29:32Z,578,Mudryk,TOT,54,53,0.0,8,176
2026-09-19T23:29:32Z,535,Alderete,SUN,49,48,0.2,45,237
2026-09-19T23:29:32Z,536,Reinildo,SUN,45,44,0.3,22,726
2026-09-21T00:11:43Z,1,Raya,ARS,60,61,42.0,79641,20699
2026-09-21T00:11:43Z,9,Hincapie,ARS,53,52,0.9,661,3290
2026-09-21T00:11:43Z,62,Diakité,BOU,50,49,0.2,336,511
2026-09-21T00:11:43Z,138,Kostoulas,BHA,55,56,2.8,186296,5759
2026-09-21T00:11:43Z,158,Gittens,CHE,59,58,0.0,80,108
2026-09-21T00:11:43Z,575,Yirenkyi,COV,49,48,0.1,76,614
2026-09-21T00:11:43Z,232,O'Brien,EVE,49,48,0.3,193,588
2026-09-21T00:11:43Z,247,Hackney,EVE,55,54,0.2,117,651
2026-09-21T00:11:43Z,269,Sessegnon,FUL,44,43,0.3,52,830
2026-09-21T00:11:43Z,571,Florentino,IPS,49,48,0.1,35,173
2026-09-21T00:11:43Z,337,Aaronson,LEE,54,53,0.5,104,1916
2026-09-21T00:11:43Z,448,Burn,NEW,49,48,0.8,48,3285
2026-09-21T00:11:43Z,525,Fernandes,TOT,58,57,0.8,232,3892
2026-09-22T00:02:40Z,35,Bogarde,AVL,50,49,0.1,126,316
2026-09-22T00:02:40Z,61,Truffert,BOU,55,54,3.0,3158,8520
2026-09-22T00:02:40Z,94,Schade,BRE,61,62,10.4,292353,13568
2026-09-22T00:02:40Z,144,Gusto,CHE,50,49,1.0,1288,5398
2026-09-22T00:02:40Z,165,João Pedro,CHE,78,77,66.1,36553,297376
2026-09-22T00:02:40Z,186,Mason-Clark,COV,54,53,0.1,53,272
2026-09-22T00:02:40Z,195,Simms,COV,50,49,0.6,698,3897
2026-09-22T00:02:40Z,213,Lerma,CRY,49,48,0.1,43,250
2026-09-22T00:02:40Z,218,Doucouré,CRY,49,48,0.0,65,201
2026-09-22T00:02:40Z,323,McAteer,IPS,45,44,1.0,376,4748
2026-09-22T00:02:40Z,387,O'Reilly,MCI,64,63,11.1,3464,52588
2026-09-22T00:02:40Z,426,B.Fernandes,MUN,120,119,38.8,23747,148913
2026-09-22T00:02:40Z,449,Hall,NEW,52,53,16.6,183257,10803
2026-09-22T00:02:40Z,473,Aina,NFO,45,44,2.4,797,15829
2026-09-22T00:02:40Z,520,Bergvall,TOT,54,53,0.1,65,439
2026-09-23T00:24:34Z,36,Maatsen,AVL,45,44,0.5,42,5056
2026-09-23T00:24:34Z,210,Wharton,CRY,55,54,0.7,931,3697
2026-09-23T00:24:34Z,297,Gyabi,HUL,45,44,0.0,30,95
2026-09-23T00:24:34Z,418,Maguire,MUN,49,48,8.7,3101,63635
2026-09-23T00:24:34Z,437,Bendito Mantato,MUN,45,44,0.2,178,633
2026-09-23T23:08:37Z,274,Butland,HUL,45,44,0.1,57,250
2026-09-25T00:46:33Z,262,Smith Rowe,FUL,54,53,0.2,246,1178
